@@,item,name,party,area,startdate,enddate,gender
+++,,ELISA KATA,Q28551,,,,female
+++,,ELISEU SEGUNDA,Q28551,,,,male
+++,,ELSA MARIA DA CONCEIÇÃO AMBRIZ,Q28551,,,,female
+++,,ELVIRA PEREGRINA DE JESUS VAN-DÚNEM,Q28551,,,,female
+++,,EMÍLIA CARLOTA SEBASTIÃO CELESTINO DIAS,Q28551,,,,female
+++,,EMÍLIO JOSÉ HOMEM GOMES,Q28551,,,,male
+++,,ERNESTO JOAQUIM MULATO,Q28699,,,,male
+++,,ESTEVÃO JOSÉ PEDRO KACHIUNGO,Q28699,,,,male
+++,,EUGÉNIA TAMAR SEMENTE CHIACA NGANDALO,Q28551,,,,female
+++,,EUGÊNIO ANTONINO NGOLO MANUVAKOLA,Q28699,,,,male
+++,,EULÁLIA MARIA ALVES ROCHA SILVA,Q28551,,,,female
+++,,EVA QUIBUBA CANGUDI,Q28551,,,,female
+++,,EXALGINA RENEÉ VICENTE OLAVO GAMBÔA,Q28551,,,,female
+++,,FAUSTINA FERNANDES INGLÊS DE ALMEIDA ALVES,Q28551,,,,female
+++,,FERNANDO BARTOLOMEU CATIVA,Q28551,,,,male
+++,Q310815,FERNANDO DA PIEDADE DIAS DOS SANTOS,Q28551,,,,male
+++,,FERNANDO DOMINGOS HEITOR DA COSTA FRANCISCO,Q28699,,,,male
+++,Q264090,FERNANDO JOSÉ DE FRANÇA DIAS VAN-DÚNEM,Q28551,,,,male
+++,,FILIPE DOMINGOS,Q28551,,,,male
+++,,FLORENTINO GABRIEL SAMBUNDO,Q28551,,,,male
+++,,FRANCISCA DE FÁTIMA DO ESPÍRITO SANTO CARVALHO,Q28551,,,,female
+++,,FRANCISCO ALBERTO CARLOS MENDES,Q907051,,,,male
+++,,FRANCISCO BOAVENTURA CANJONGO CHITAPA,Q28551,,,,male
+++,,FRANCISCO DE CASTRO MARIA,Q28551,,,,male
---,Q5483447,FRANCISCO HIGINO LOPES CARNEIRO,Q28551,,2008,,male
+++,,FRANCISCO JOSÉ RAMOS DA CRUZ,Q28551,,,,male
+++,,FRANCISCO MAGALHÃES PAIVA,Q28551,,,,male
+++,,GABINETE LOCAL DO MOXICO,,,,,
+++,,GARCIA VIERIA,Q28551,,,,male
+++,,GENOVEVA DA CONCEIÇÃO LINO,Q28551,,,,female
+++,,GERDINA ULIPAMUE DIDALELWA,Q28551,,,,female
+++,,GILBERTO MANUEL PEREIRA,Q28551,,,,male
+++,,GRACIANA EUGÉNIA MANUEL PEDRO NEVES CAETANO,Q28551,,,,female
---,Q29876723,Guilhermina Contreiras da Costa Prata,,,2012-09-27,2018-08-22,female
+++,,GUILHERMINA CONTREIRAS DA COSTA PRATA,Q28551,,,,female
+++,,GUILHERMINA FUNDANGA MANUEL MAYER ALKAIM,Q28551,,,,female
+++,,GUSTAVO DIAS VAZ DA CONCEIÇÃO,Q28551,,,,male
+++,,HELENA BONGUELA ABEL,Q28699,,,,female
+++,,IRENE ALEXANDRA DA SILVA NETO,Q28551,,,,female
+++,,ISABEL JOÃO MIGUEL SEBASTIÃO PELIGANGA,Q28551,,,,female
+++,,JEREMIAS DUMBO,Q28551,,,,male
---,Q29876771,Jeremias Dumbo,,,2012-09-27,2018-08-22,male
+++,,JESUÍNO MANUEL DA SILVA,Q28551,,,,male
+++,,JOANA DE JESUS DA CONCEIÇÃO PEDRO ANDRÉ E PEDRO,Q28551,,,,female
+++,Q16337620,JOANA LINA RAMOS BAPTISTA,,,,,female
+++,,JOANA LINA RAMOS BAPTISTA CÂNDIDO,Q28551,,,,female
+++,,JOANA META FERNANDES DOS SANTOS,Q28551,,,,female
+++,,JOAQUIM ANTÓNIO CARLOS REIS JÚNIOR,Q28551,,,,male
+++,,JOAQUIM DUARTE DA COSTA DAVID,Q28551,,,,male
+++,,JOB PEDRO CASTELO CAPAPINHA,Q28551,,,,male
+++,,JORGE INOCÊNCIO DOMBOLO,Q28551,,,,male
+++,,JOSEFA JOSÉ,Q28551,,,,female
+++,,JOSEFINA PANDEINGE HALEINGE,Q28551,,,,female
+++,,JOSÉ DA COSTA UAMUHANA,Q28551,,,,male
+++,,JOSÉ DIOGO VENTURA,Q28551,,,,male
+++,,JOSÉ FRANCISCO TINGÃO PEDRO,Q28551,,,,male
+++,,JOSÉ MANGOVO TOMÉ,Q28551,,,,male
+++,,JOSÉ MARIA JAMBA,Q28551,,,,male
+++,,JOSÉ MIÚDO,Q28551,,,,male
+++,,JOSÉ MOISÉS CIPRIANO,Q28551,,,,male
+++,,JOSÉ MÁRIO KATITI,Q28551,,,,male
+++,,JOSÉ SAMUEL CHIWALE,Q28699,,,,male
+++,,JOÃO DE ALMEIDA AZEVEDO MARTINS,Q28551,,,,male
+++,,JOÃO LUÍS NETO,Q28551,,,,male
+++,,JOÃO MANUEL FRANCISCO,Q28551,,,,male
+++,,JOÃO MARQUES NTIAMA,Q28699,,,,male
+++,,JOÃO MUATONGUELA,Q28551,,,,male
+++,,JULIÃO FRANCISCO TEIXEIRA,Q28551,,,,male
+++,Q6305249,JULIÃO MATEUS PAULO,Q28551,,,,male
+++,,JÚLIA AGOSTINHA CELESTE,Q28551,,,,female
+++,,KILAMBA KIUYIMA SEBASTIÃO VAN-DÚNEM,Q28551,,,,male
+++,,LARISSA CHIOLA ROSA JOSÉ,Q28551,,,,female
+++,,LEONEL GOMES,Q1129430,,,,male
+++,,LEONOR ESPERANÇA GASPAR,Q1674856,,,,female
+++,,LEONORA MBIMBI DE MORAIS,Q28551,,,,female
+++,,LIBERTY MARLIN DIRCÉU SAMUEL CHIAKA,Q28699,,,,male
+++,,LINDO BERNARDO TITO,Q1129430,,,,male
+++,,LOURENÇO DIOGO CONTREIRAS NETO,Q28551,,,,male
+++,,LUCAS BENGHIM NGONDA,Q907051,,,,male
+++,,LUIS REIS PAULO CUANGA,Q28551,,,,male
+++,,LUZIA PEREIRA DE SOUSA INGLÊS VAN-DÚNEM,Q28551,,,,female
+++,,LUÍSA PEDRO FRANCISCO DAMIÃO,Q28551,,,,female
+++,,MADALENA NDAFOLUMA HANOSIKE,Q28551,,,,female
+++,,MANSO JOÃO MIRANDA PASCOAL,Q28551,,,,male
+++,,MANUEL ANTÓNIO GASPAR DOMINGOS,Q28551,,,,male
+++,,MANUEL AUGUSTO FRAGATA MORAIS,Q28551,,,,male
+++,,MANUEL FERNANDES,Q1129430,,,,male
+++,,MANUEL FIGUEIRA CALUNGA,Q28551,,,,male
+++,,MANUEL FRANCISCO TUTA,Q28551,,,,male
+++,,MANUEL JOSÉ NUNES JÚNIOR,Q28551,,,,male
---,Q6752791,Manuel Pedro Pacavira,,,2012-09-27,2016-09-12,male
+++,,MANUEL PEDRO PACAVIRA,Q28551,,,,male
+++,,MANUEL SAVIHEMBA,Q28699,,,,male
+++,,MARCELINA HUNA ALEXANDRE,Q28551,,,,female
+++,,MARIA BUITI MAKUALA,Q28551,,,,female
+++,,MARIA CATARINA BEÚA,Q28551,,,,female
+++,,MARIA DO CARMO ASSIS DO NASCIMENTO,Q28551,,,,female
+++,,MARIA DO ROSÁRIO AMADEU,Q28551,,,,female
+++,,MARIA IDALINA DE OLIVEIRA VALENTE,Q28551,,,,female
+++,,MARIA ISABEL CAMUÉ,Q28551,,,,female
+++,,MARIA ISABEL MALUNGA MUTUNDA,Q28551,,,,female
+++,,MARIA JOSÉ DE ENCARNAÇÃO FERNANDES,Q28551,,,,female
+++,,MARIA JOSÉ DE SOUSA GOUVEIA ALFREDO,Q28551,,,,female
+++,,MARIA JÚLIA DE CERCAL ORNELAS,Q28551,,,,female
+++,,MARIA LUÍSA DE ANDRADE,Q28699,,,,female
+++,,MARIANA PAULO ANDRÉ AFONSO,Q28551,,,,female
+++,,MARTA BEATRIZ DO CARMO ISSUNGO,Q28551,,,,female
+++,,MATEUS ISABEL JÚNIOR,Q28551,,,,male
+++,,MAWETE JOÃO BAPTISTA,Q28551,,,,male
+++,,MFUCA ANTÓNIO FUACACA MUZEMBA,Q28699,,,,male
+++,,MIGUEL MARIA NZAU PUNA,Q28551,,,,male
+++,,MIHAELA EZSÉBET NETO WEBBA,Q28699,,,,female
+++,,MIRALDINA OLGA MARCOS JAMBA,Q28699,,,,female
+++,,MONTEIRO PINTO KAPUNGA,Q28551,,,,male
+++,,MORAIS ANTÓNIO NEVES TOMÁS,Q28551,,,,male
+++,,MÁRIO ANTÓNIO QUEXIGINA LUANDANDA,Q28551,,,,male
+++,,MÁRIO SALOMÃO,Q28551,,,,male
+++,,MÁRTIRES CORREIA VICTOR,Q28699,,,,male
+++,,NICOLAU SAPALO,Q28551,,,,male
+++,,NUNO DOS ANJOS CALDAS ALBINO,Q28551,,,,male
+++,,NVUNDA BENVINDO DAS NEVES SALUCOMBO,Q28551,,,,male
+++,,ODETE DA CONCEIÇÃO DOMINGOS DOS SANTOS,Q28551,,,,female
+++,,ODETH LUDOVINA BACA JOAQUIM,Q1129430,,,,female
+++,,PALMIRA DOMINGOS PASCOAL BERNARDO,Q28551,,,,female
+++,,PANZO JOAQUIM,Q28551,,,,male
+++,,PEDRO DIAVOVA,Q28551,,,,male
+++,,PEDRO MAKITA ARMANDO JÚLIA,Q28551,,,,male
+++,,PEDRO SEBASTIÃO,Q28551,,,,male
+++,,PEREIRA ALFREDO,Q28551,,,,male
+++,,PIEDOSO CHIPINDO BONGA,Q28699,,,,male
+++,,RAÚL AUGUSTO LIMA,Q28551,,,,male
+++,,RAÚL MANUEL DANDA,Q28699,,,,male
+++,,REGINA EDUARDO TXIPOIA,Q28699,,,,female
+++,Q61960012,ROBERTO ANTÓNIO VÍCTOR FRANCISCO DE ALMEIDA,Q28551,,,,male
+++,Q7351774,ROBERTO LEAL RAMOS MONTEIRO,Q28551,,,,male
+++,,RODOLFO DA RESSURREIÇÃO BERNARDO,Q28551,,,,male
+++,,ROSÁRIA ERNESTO DA SILVA,Q28551,,,,female
+++,,RUTH ADRIANO MENDES,Q28551,,,,female
+++,,SABINA NAPOLO,Q28551,,,,female
+++,,SALOMÃO JOSÉ LUHETO XIRIMBIMBI,Q28551,,,,male
+++,,SERAFIM MARIA DO PRADO,Q28551,,,,male
+++,,SERAFINA MIGUEL EMILIA PINTO,Q28551,,,,female
+++,,SILVESTRE GABRIEL SAMY,Q28699,,,,male
+++,,SIMÃO GEREMIAS BOA CARROBA,Q28551,,,,male
+++,,SOFIA PROFÍRIO KASSUNGO MUSSONGUELA,Q28699,,,,female
+++,,SUZANA PEREIRA BRAVO,Q28551,,,,female
+++,,SÉRGIO LEONARDO VAZ,Q28551,,,,male
+++,,SÉRGIO LUTHER RESCOVA JOAQUIM,Q28551,,,,male
+++,,SÓNIA MOISÉS NELE,Q28551,,,,female
+++,,TOMÁS SIMÃO DA SILVA,Q28551,,,,male
+++,,VALERIANO CHIMO CASSUAUÉ,Q28551,,,,male
+++,,VERÍSSIMO SAPALO,Q28551,,,,male
+++,,VICTORINO NHANY,Q28699,,,,male
---,Q29876789,Victória Francisca Correia Da Conceição,,,2012-09-27,2018-08-22,female
+++,,VICTÓRIA FRANCISCA CORREIA DA CONCEIÇÃO,Q28551,,,,female
+++,,VICTÓRIA MANUEL DA SILVA IZATA,Q28551,,,,female
+++,,VIRGÍLIO FERREIRA DE FONTES PEREIRA,Q28551,,,,male
+++,,VÍGILIO DA RESSUREIÇÃO BERNARDO ADRIANO TYOVA,Q28551,,,,male
+++,,WELWITCHIA JOSÉ DOS SANTOS,Q28551,,,,
+++,,YABA PEDRO ALBERTO,Q28551,,,,male
+++,,YOLANDA BRÍGIDA DOMINGOS DE SOUSA,Q28551,,,,female
+++,,ÁGATA MARIA FLORINDA MBAKA RAIMUNDO,Q28551,,,,female
