minister,country,startdate,enddate,position
Manuel Neto da Costa,Angola,2019-07-24,2019-12-31,Economy and Planning
Manuel Nunes Junior,Angola,2008-10-03,2010-09-27,Economy
Manuel Nunes Junior,Angola,2017-09-26,2019-12-31,Economic and Social Development
Manuel Tavares de Almeida,Angola,2017-09-26,2019-12-31,Construction and Public Works
Manuel da Costa Aragao,Angola,2004-12-17,2008-10-03,Justice
Marcos Alexandre Nhunga,Angola,2016-08-28,2017-09-26,Agriculture
Marcos Alexandre Nhunga,Angola,2017-09-26,2019-07-24,Agriculture and Forestry
Maria Filomena Lobão Telo Delgado,Angola,2012-09-26,2017-09-26,Family Issues and the Promotion of Women
Maria Idalina de Oliveira Valente,Angola,2008-10-03,2010-02-06,Trade
Maria de Cândida Pereira Teixeira,Angola,2008-10-03,2012-09-26,Science and Technology
Maria de Cândida Pereira Teixeira,Angola,2017-09-26,2019-10-08,Education
Maria de Fátima Monteiro Jardim,Angola,2008-10-03,2017-09-26,Environment
Maria do Rosário Braganca Sambo,Angola,2017-09-26,2019-12-31,"Higher Education, Science and Technology"
Maria Ângela Teixeira Braganda,Angola,2017-09-26,2019-12-31,Hotel and Tourism
Mpinda Simao,Angola,2010-02-06,2017-09-26,Education
Osvaldo Serra van Dunem,Angola,2002-12-05,2006-02-24,Interior
Paula Francisco Coelho,Angola,2017-09-26,2019-12-31,Environment
Paulino Domingos Baptista,Angola,2016-01-11,2017-09-26,Hotel and Tourism
Paulo Chipilica,Angola,1992-12-02,2004-12-17,Justice
Pedro Hendrick Vaal Neto,Angola,1997-04-09,2008-10-03,News Media
Pedro Jose van Dunem,Angola,1997-04-09,2010-02-06,War Veterans
Pedro Luis da Fonseca,Angola,2017-09-26,2019-07-24,Economy and Planning
Pedro Mutinde,Angola,2008-10-03,2010-02-06,Hotel and Tourism
Pedro Mutinde,Angola,2010-03-16,2016-01-11,Hotel and Tourism
Pedro Sebastiao,Angola,2017-09-26,2019-12-31,Security Household
Roberto Leal Monteiro,Angola,2006-02-24,2010-09-27,Interior
Rosa Luís de Sousa Micolo,Angola,2012-09-26,2017-09-26,Parliamentary Issues
Rosa Maria Martins da Cruz e Silva,Angola,2008-10-03,2016-03-07,Culture
Rosa Pedro Pacavira de Matos,Angola,2012-09-26,2016-03-07,Trade
Rui Jorge Carneiro Mangueira,Angola,2012-09-26,2017-09-26,Justice and Human Rights
Salomao Luheto Xirimbimbi,Angola,2002-12-05,2010-02-06,Fishing
Salviano de Jesus Sequeira,Angola,2017-09-26,2019-12-31,Defence
Sebastiao Antonio Martins,Angola,2010-09-27,2012-09-26,Interior
Severim de Morais,Angola,2008-10-03,2010-02-06,Finance
Silvia Paula Valentim Lutucuta,Angola,2017-09-26,2019-12-31,Health
Vera Daves,Angola,2019-10-08,2019-12-31,Finance
Victoria Francisco Correia da Conceicao,Angola,2017-09-26,2019-12-31,"Social Action, Family and the Promotion of Women"
Victoria Francisco Lopes de Barros Neto,Angola,2012-09-26,2017-09-26,Fishing
Victoria Francisco Lopes de Barros Neto,Angola,2017-09-26,2019-12-31,Fishing
Victorino Domingos Hossi,Angola,1997-04-09,2004-10-23,Commerce
Virgilio Ferreira Fontes Pereira,Angola,2002-12-05,2004-10-23,Urban Affairs and Environment
Waldemar Pires Alexandre,Angola,2013-05-07,2017-09-26,Construction
