item,itemLabel,position,positionLabel,start,end
,Maria de Cândida Pereira Teixeira,Q111945571,Minister of Science and Technology,2008-10-03,2012-09-26
,Maria de Cândida Pereira Teixeira,Q65081999,Minister of Education,2017-09-26,2019-10-08
Q105491338,Maria de Fátima Monteiro Jardim,Q111945547,Minister of Environment,2008-10-03,2017-09-26
Q109984865,Maria do Rosário Braganca Sambo,Q109984666,"Minister of Higher Education, Science, Technology and Innovation",2017-09-26,2019-12-31
,Maria Ângela Teixeira Braganda,Q111945555,Minister of Hotel and Tourism,2017-09-26,2019-12-31
,Mpinda Simao,Q65081999,Minister of Education,2010-02-06,2017-09-26
Q6222208,Osvaldo Serra van Dunem,Q54479352,Minister of the Interior,2002-12-05,2006-02-24
Q54913987,Paula Francisco Coelho,Q111945547,Minister of Environment,2017-09-26,2019-12-31
,Paulino Domingos Baptista,Q111945555,Minister of Hotel and Tourism,2016-01-11,2017-09-26
Q105491344,Paulo Chipilica,Q111945559,Minister of Justice,1992-12-02,2004-12-17
Q5713736,Pedro Hendrick Vaal Neto,Q111945562,Minister of News Media,1997-04-09,2008-10-03
,Pedro Jose van Dunem,Q111945587,Minister of War Veterans,1997-04-09,2010-02-06
Q51120777,Pedro Luis da Fonseca,Q65081971,Minister of Economy and Planning,2017-09-26,2019-07-24
,Pedro Mutinde,Q111945555,Minister of Hotel and Tourism,2008-10-03,2010-02-06
,Pedro Mutinde,Q111945555,Minister of Hotel and Tourism,2010-03-16,2016-01-11
Q105491346,Pedro Sebastiao,Q111945573,Minister of Security Household,2017-09-26,2019-12-31
Q7351774,Roberto Leal Monteiro,Q54479352,Minister of the Interior,2006-02-24,2010-09-27
,Rosa Luís de Sousa Micolo,Q111945564,Minister of Parliamentary Issues,2012-09-26,2017-09-26
,Rosa Maria Martins da Cruz e Silva,Q65081943,Minister of Culture,2008-10-03,2016-03-07
,Rosa Pedro Pacavira de Matos,Q111945578,Minister of Trade,2012-09-26,2016-03-07
,Rui Jorge Carneiro Mangueira,Q109984660,Minister of Justice and Human Rights,2012-09-26,2017-09-26
Q105491350,Salomao Luheto Xirimbimbi,Q111945550,Minister of Fishing,2002-12-05,2010-02-06
,Salviano de Jesus Sequeira,Q54416499,Minister of Defence,2017-09-26,2019-12-31
,Sebastiao Antonio Martins,Q54479352,Minister of the Interior,2010-09-27,2012-09-26
,Severim de Morais,Q6866123,Minister of Finance,2008-10-03,2010-02-06
,Silvia Paula Valentim Lutucuta,Q108282421,Minister of Health,2017-09-26,2019-12-31
Q96441964,Vera Daves,Q6866123,Minister of Finance,2019-10-08,2019-12-31
,Victoria Francisco Correia da Conceicao,Q65081634,"Minister of Social Action, Family and Gender Promotion",2017-09-26,2019-12-31
,Victoria Francisco Lopes de Barros Neto,Q111945550,Minister of Fishing,2012-09-26,2017-09-26
,Victoria Francisco Lopes de Barros Neto,Q111945550,Minister of Fishing,2017-09-26,2019-12-31
,Victorino Domingos Hossi,Q111945539,Minister of Commerce,1997-04-09,2004-10-23
Q111517202,Virgilio Ferreira Fontes Pereira,Q111945580,Minister of Urban Affairs and Environment,2002-12-05,2004-10-23
,Waldemar Pires Alexandre,Q111945541,Minister of Construction,2013-05-07,2017-09-26
