id,name,partyLabel,constituencyLabel,homepage
celso.capingala,CELSO EDUARDO TORRES CAPINGÃLA,UNITA,Círculo Elaitoral Nacional,http://www.parlamento.ao/web/celso.capingala
cesinanda.narciso,CESINANDA TERESA JOSÉ DE KERLAN XAVIER NARCISO,CASA-CE,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/cesinanda.narciso
clarice.mukinda,CLARICE MUKINDA,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/clarice.mukinda
candida.silva,CÂNDIDA CELESTE DA SILVA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/candida.silva
candida.narciso,CÂNDIDA MARIA GUILHERME NARCISO,MPLA,Circulo Eleitoral Provincial da Lunda Sul,http://www.parlamento.ao/web/candida.narciso
candido.van-dunem,CÂNDIDO PEREIRA DOS SANTOS VAN-DÚNEM,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/candido.van-dunem
daniel.antonio,DANIEL ANTÓNIO,MPLA,Círculo Eleitoral Provincial Kuanza Norte,http://www.parlamento.ao/web/daniel.antonio
deolinda.valiangula,DEOLINDA TCHOCONDOCA VALIANGULA,MPLA,Círculo Eleitoral Provincial de Benguela,http://www.parlamento.ao/web/deolinda.valiangula
diamantino.mussocola,DIAMANTINO DOMINGOS MUSSOKOLA,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/diamantino.mussocola
diogenes.oliveira,DIÓGENES DO ESPÍRITO SANTO OLIVEIRA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/diogenes.oliveira
djamila.almeida,DJAMILA HUGUETTE DA SILVA DE ALMEIDA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/djamila.almeida
domingos.pinto,DOMINGOS JOÃO FERREIRA PINTO,MPLA,Cículo Eleitoral Provincial do Cuanza Norte,http://www.parlamento.ao/web/domingos.pinto
domingos.oliveira,DOMINGOS OLIVEIRA,UNITA,Circulo Eleitoral Provincial da Lunda Norte,http://www.parlamento.ao/web/domingos.oliveira
domingos.afonso,DOMINGOS AFONSO,MPLA,Círculo Eleitoral Provincial do Cuanza Sul,http://www.parlamento.ao/web/domingos.afonso
dulce.ginga,DULCE GINGA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/dulce.ginga
eduarda.magalhaes,EDUARDA MARIA NICOLAU SILVESTRE MAGALHÃES,MPLA,Cículo Eleitoral Provincial de Benguela,http://www.parlamento.ao/web/eduarda.magalhaes
eduardo.delfino,EDUARDO DUMBO DELFINO,UNITA,Circulo Eleitoral Provincial do Huambo,http://www.parlamento.ao/web/eduardo.delfino
eduardo.nelumba,EDUARDO GOMES NELUMBA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/eduardo.nelumba
eduardo.faustino,EDUARDO SONGUILE ENDOME FAUSTINO,UNITA,Círculo Eleitoral Provincila do Bié,http://www.parlamento.ao/web/eduardo.faustino
elvira.van-dunem,ELVIRA PEREGRINA DE JESUS VAN-DÚNEM,MPLA,Círculo Eleitoral Provincial do Bengo,http://www.parlamento.ao/web/elvira.van-dunem
emilia.dias,EMÍLIA CARLOTA SEBASTIÃO CELESTINO DIAS,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/emilia.dias
ernesto.mulato,ERNESTO JOAQUIM MULATO,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/ernesto.mulato
estevao.kachiungo,ESTEVÃO JOSÉ PEDRO KACHIUNGO,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/estevao.kachiungo
eugenia.gaspar,EUGÉNIA RODRIGUES DOS SANTOS GASPAR,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/eugenia.gaspar
eulalia.silva,EULÁLIA MARIA ALVES ROCHA SILVA,MPLA,Círculo Elaitoral Provincial de Luanda,http://www.parlamento.ao/web/eulalia.silva
eusebio.texeira,EUSÉBIO DE BRITO TEIXEIRA,MPLA,Circulo Eleitoral do Cuanza Sul,http://www.parlamento.ao/web/eusebio.texeira
evelize.fresta,EVELIZE JOAQUINA JOAQUIM DA CRUZ FRESTA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/evelize.fresta
fele.antonio,FELE ANTÓNIO,CASA-CE,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/fele.antonio
felino.job,FELINO JOB,MPLA,Circulo Eleitoral Provincial do Moxico,http://www.parlamento.ao/web/felino.job
